team,group,champion,runner_up,semifinal,quarterfinal,round_of_16,round_of_32,group_stage,n_simulations,pct_champion,pct_runner_up,pct_semifinal,pct_quarterfinal,pct_round_of_16,pct_round_of_32,pct_group_stage
Spain,G,2686,3532,4600,6298,8335,9632,10000,10000,26.86,35.32,46.0,62.98,83.35,96.32,100.0
Argentina,E,1379,2181,3131,5474,7720,9713,10000,10000,13.79,21.81,31.31,54.74,77.2,97.13,100.0
France,H,835,1542,2406,4041,7591,9702,10000,10000,8.35,15.42,24.06,40.41,75.91,97.02,100.0
England,I,680,1540,2735,4529,6891,9367,10000,10000,6.8,15.4,27.35,45.29,68.91,93.67,100.0
Morocco,C,521,1052,2200,3548,5626,8456,10000,10000,5.21,10.52,22.0,35.48,56.26,84.56,100.0
Brazil,D,509,1024,2436,4004,6662,9507,10000,10000,5.09,10.24,24.36,40.04,66.62,95.07,100.0
Portugal,J,406,988,1962,3573,6268,9455,10000,10000,4.06,9.88,19.62,35.73,62.68,94.55,100.0
Germany,F,361,744,1385,3111,5830,8696,10000,10000,3.61,7.44,13.85,31.11,58.3,86.96,100.0
Colombia,F,358,802,1510,3234,5992,8787,10000,10000,3.58,8.02,15.1,32.34,59.92,87.87,100.0
Ecuador,H,335,843,1627,3128,6498,9350,10000,10000,3.35,8.43,16.27,31.28,64.98,93.5,100.0
Netherlands,K,262,726,1536,2930,5036,9729,10000,10000,2.62,7.26,15.36,29.3,50.36,97.29,100.0
Japan,G,259,706,1383,2716,5026,7475,10000,10000,2.59,7.06,13.83,27.16,50.26,74.75,100.0
Mexico,B,244,638,1859,3566,5894,9643,10000,10000,2.44,6.38,18.59,35.66,58.94,96.43,100.0
Switzerland,L,208,561,1306,2593,5185,9112,10000,10000,2.08,5.61,13.06,25.93,51.85,91.12,100.0
Croatia,C,100,290,848,1773,3438,6576,10000,10000,1.0,2.9,8.48,17.73,34.38,65.76,100.0
Belgium,C,97,268,762,1662,3257,6269,10000,10000,0.97,2.68,7.62,16.62,32.57,62.69,100.0
Uruguay,F,85,261,657,1689,3817,7163,10000,10000,0.85,2.61,6.57,16.89,38.17,71.63,100.0
Senegal,J,81,286,773,1943,4319,8621,10000,10000,0.81,2.86,7.73,19.43,43.19,86.21,100.0
United States,A,78,215,791,2013,4279,9145,10000,10000,0.78,2.15,7.91,20.13,42.79,91.45,100.0
Canada,C,64,213,649,1472,2969,6005,10000,10000,0.64,2.13,6.49,14.72,29.69,60.05,100.0
Australia,I,62,198,603,1602,3624,7298,10000,10000,0.62,1.98,6.03,16.02,36.24,72.98,100.0
Nigeria,E,61,205,543,1468,3372,6985,10000,10000,0.61,2.05,5.43,14.68,33.72,69.85,100.0
Iran,E,51,153,416,1208,2962,6440,10000,10000,0.51,1.53,4.16,12.08,29.62,64.4,100.0
Algeria,I,50,175,585,1488,3445,7228,10000,10000,0.5,1.75,5.85,14.88,34.45,72.28,100.0
Paraguay,G,48,129,374,951,2314,4728,10000,10000,0.48,1.29,3.74,9.51,23.14,47.28,100.0
South Korea,G,44,133,325,871,2257,4568,10000,10000,0.44,1.33,3.25,8.71,22.57,45.68,100.0
Ivory Coast,K,36,131,424,1191,3007,8833,10000,10000,0.36,1.31,4.24,11.91,30.07,88.33,100.0
Egypt,D,24,88,345,1006,2962,6925,10000,10000,0.24,0.88,3.45,10.06,29.62,69.25,100.0
Uzbekistan,L,22,102,358,1061,2911,7495,10000,10000,0.22,1.02,3.58,10.61,29.11,74.95,100.0
Venezuela,B,13,46,228,808,2524,7650,10000,10000,0.13,0.46,2.28,8.08,25.24,76.5,100.0
Panama,A,11,75,334,1072,2932,8166,10000,10000,0.11,0.75,3.34,10.72,29.32,81.66,100.0
Greece,L,7,25,161,549,1941,6161,10000,10000,0.07,0.25,1.61,5.49,19.41,61.61,100.0
Serbia,D,6,17,112,420,1619,5027,10000,10000,0.06,0.17,1.12,4.2,16.19,50.27,100.0
DR Congo,D,4,24,146,502,1792,5365,10000,10000,0.04,0.24,1.46,5.02,17.92,53.65,100.0
Slovakia,I,4,10,46,196,802,3036,10000,10000,0.04,0.1,0.46,1.96,8.02,30.36,100.0
Saudi Arabia,H,2,5,35,162,865,3525,10000,10000,0.02,0.05,0.35,1.62,8.65,35.25,100.0
Chile,E,2,15,63,283,1022,3389,10000,10000,0.02,0.15,0.63,2.83,10.22,33.89,100.0
Cameroon,F,2,8,42,190,709,2558,10000,10000,0.02,0.08,0.42,1.9,7.09,25.58,100.0
Peru,L,1,12,44,233,1024,4271,10000,10000,0.01,0.12,0.44,2.33,10.24,42.71,100.0
Costa Rica,J,1,9,44,207,970,4124,10000,10000,0.01,0.09,0.44,2.07,9.7,41.24,100.0
Honduras,A,1,6,39,197,942,4952,10000,10000,0.01,0.06,0.39,1.97,9.42,49.52,100.0
Guatemala,K,0,0,10,90,558,4052,10000,10000,0.0,0.0,0.1,0.9,5.58,40.52,100.0
Jamaica,B,0,5,15,115,689,4027,10000,10000,0.0,0.05,0.15,1.15,6.89,40.27,100.0
Qatar,K,0,2,9,64,417,3447,10000,10000,0.0,0.02,0.09,0.64,4.17,34.47,100.0
Albania,A,0,1,23,178,876,4546,10000,10000,0.0,0.01,0.23,1.78,8.76,45.46,100.0
Bolivia,J,0,6,50,230,1008,4344,10000,10000,0.0,0.06,0.5,2.3,10.08,43.44,100.0
South Africa,H,0,2,25,130,745,3256,10000,10000,0.0,0.02,0.25,1.3,7.45,32.56,100.0
New Zealand,B,0,6,45,231,1078,5201,10000,10000,0.0,0.06,0.45,2.31,10.78,52.01,100.0
